Epoch,Card Name,Cost 1,Cost 2,Cost 3,Cost 4,Cost 5,Takes Link,Gives Link,Science Effect,Gives Money,Gives Resource,Quest Steps,# Troops,Destination 1,Destination 2,Movements,Coins Lost,Casualties
1,Science,Crown,,,,,,Pot,Pipe,,,,,,,,,
1,Science,Crown,,,,,,Anvil,Hammer,,,,,,,,,
1,Science,Book,,,,,,Horseshoe,Horn,,,,,,,,,
1,Science,Book,,,,,,Harp,Flask,,,,,,,,,
1,Gold,,,,,,,,,2,,,,,,,,
1,Gold,,,,,,,,,2,,,,,,,,
1,Gold,,,,,,,,,2,,,,,,,,
1,Gold,,,,,,,,,2,,,,,,,,
1,Resource,,,,,,,,,,Heart,,,,,,,
1,Resource,,,,,,,,,,Heart,,,,,,,
1,Resource,,,,,,,,,,Fist,,,,,,,
1,Resource,,,,,,,,,,Fist,,,,,,,
1,Resource,,,,,,,,,,Face,,,,,,,
1,Resource,,,,,,,,,,Face,,,,,,,
1,Resource,,,,,,,,,,Crown,,,,,,,
1,Resource,,,,,,,,,,Book,,,,,,,
1,Ring,,,,,,,,,,,1,,,,,,
1,Ring,Fist,,,,,,Horse,,,,1,,,,,,
1,Ring,Heart,,,,,,Backpack,,,,1,,,,,,
1,Ring,1 Coin,,,,,,Fish,,,,1,,,,,,
1,War,Face,,,,,,Bow And Arrow,,,,,1,Gondor,Rohan,,,
1,War,,,,,,,Sword,,,,,1,Linden,Arnor,,,
1,War,,,,,,,Helmet,,,,,1,Rhovanion,Enedwaith,,,
2,Science,Face,Face,Crown,,,Pot,Acorn,Pipe,,,,,,,,,
2,Science,Fist,Fist,Crown,,,Anvil,,Hammer,,,,,,,,,
2,Science,Heart,Heart,Book,,,Horseshoe,Scroll,Horn,,,,,,,,,
2,Science,Heart,Crown,Book,,,Harp,,Flask,,,,,,,,,
2,Gold,,,,,,,,,4,,,,,,,,
2,Gold,,,,,,,Chest,,3,,,,,,,,
2,Resource,1 Coin,,,,,,,,,2 Face,,,,,,,
2,Resource,1 Coin,,,,,,,,,2 Heart,,,,,,,
2,Resource,,,,,,,,,,Book,,,,,,,
2,Resource,,,,,,,,,,Crown,,,,,,,
2,Resource,1 Coin,,,,,,,,,2 Fist,,,,,,,
2,Resource,1 Coin,Face,,,,,,,,Crown OR Book,,,,,,,
2,Resource,1 Coin,Crown,Book,,,,,,,Face OR Fist OR Heart,,,,,,,
2,Ring,Face,Fist,,,,,,,,,1,,,,,,
2,Ring,1 Coin,,,,,Backpack,,,,,1,,,,,,
2,Ring,Heart,Fist,,,,Horse,,,,,1,,,,,,
2,Ring,Fist,Heart,Heart,,,,Campfire,,,,2,,,,,,
2,Ring,Fist,Fist,Book,,,,Sleeping Bag,,,,2,,,,,,
2,War,Fist,Fist,Heart,,,Helmet,Chest Mail,,,,,2,Linden,Enedwaith,,,
2,War,Face,Face,Book,,,Sword,Ax,,,,,2,Mordor,Rohan,,,
2,War,Face,Face,Face,,,Bow And Arrow,,,,,,2,Gondor,Mordor,,,
2,War,Face,Fist,Heart,,,,,,,,,2,Linden,Rohan,,,
2,War,Heart,Heart,Crown,,,,,,,,,2,Arnor,Rhovanion,,,
3,Gold,Face,Crown,Book,,,,,,5,,,,,,,,
3,Gold,Face,Face,Heart,,,Chest,,,5,,,,,,,,
3,Science,Fist,Fist,Book,Book,,Acorn,,Leaf,,,,,,,,,
3,Science,Face,Face,Crown,Crown,,Scroll,,Palantir,,,,,,,,,
3,Science,Heart,Heart,Crown,Book,,,,Leaf,,,,,,,,,
3,Science,Fist,Fist,Crown,Book,,,,Palantir,,,,,,,,,
3,Ring,Face,Face,Face,Heart,,Sleeping Bag,,,,,2,,,,,,
3,Ring,Fist,Fist,Crown,,,,,,,,2,,,,,,
3,Ring,Face,Face,Heart,Heart,,Fish,,,,,2,,,,,,
3,Ring,3 Coin,,,,,,,,,,3,,,,,,
3,Ring,Face,Fist,Fist,Fist,,Campfire,,,,,2,,,,,,
3,War,Face,Face,Heart,Book,Book,,,,,,,3,Linden,Mordor,,,
3,War,Face,Fist,Fist,Heart,Heart,,,,,,,3,Rhovanion,Mordor,,,
3,War,Face,Face,Heart,Heart,,,,,,,,3,Enedwaith,Arnor,,,
3,War,Face,Face,Face,Crown,Crown,,,,,,,3,Rhovanion,Gondor,,,
3,War,Face,Fist,Crown,Crown,Book,Ax,,,,,,3,Gondor,Arnor,,,
3,War,Fist,Fist,Heart,Heart,,Chest Mail,,,,,,3,Enedwaith,Rohan,,,
3,Guild,Face,Fist,Heart,Book,,,,,,,,,,,2,1,
3,Guild,Heart,Heart,Crown,Book,,,,,,,,,,,3,,
3,Guild,Fist,Fist,Crown,,,,,,,,,,,,1,1,1
3,Guild,Fist,Fist,Fist,Book,,,,,,,,,,,2,,1
3,Guild,Heart,Heart,Heart,Crown,,,,,,,,,,,,2,1
3,Guild,Fist,Heart,Book,Book,,,,,,,,,,,,1,2
